"","SRR1408848","SRR1408849","SRR1408850","SRR1408851","SRR1408852","SRR1408853","SRR1408854","SRR1408855"
"Slc35f3",279,259,248,167,307,255,380,320
"Slc35f4",192,145,149,160,120,288,237,177
"Slc35f5",281,304,387,455,274,286,451,287
"Slc35f6",416,218,292,207,268,364,327,256
"Slc35g1",19,17,48,17,8,7,20,12
"Slc35g2",161,231,329,259,249,230,369,245
"Slc35g3",0,5,0,0,7,0,0,0
"Slc36a1",897,920,653,468,967,1146,704,553
"Slc36a2",4,12,4,5,5,6,0,0
"Slc36a4",978,1036,1337,1144,1056,1154,1411,1348
"Slc37a1",19,41,11,9,16,15,6,2
"Slc37a2",29,10,38,15,11,21,20,28
"Slc37a3",712,796,753,736,702,801,833,720
"Slc37a4",167,153,126,66,155,219,104,88
"Slc38a1",2940,3398,3504,2240,2713,2732,3147,2843
"Slc38a10",336,230,125,81,318,374,107,71
"Slc38a11",96,52,109,103,28,52,34,70
"Slc38a2",1531,1404,2522,1112,1342,1390,1829,1730
"Slc38a3",822,665,409,234,477,668,196,260
"Slc38a4",6,0,25,22,0,18,38,31
"Slc38a5",54,42,33,33,20,69,21,35
"Slc38a6",34,33,16,18,25,29,12,10
"Slc38a7",222,196,125,118,270,300,220,129
"Slc38a8",0,0,0,7,0,0,0,0
"Slc38a9",154,151,245,132,208,209,266,228
"Slc39a1",248,209,321,231,190,192,181,201
"Slc39a10",4465,4160,6006,6552,3897,5154,6194,5823
"Slc39a11",140,167,128,135,143,206,143,101
"Slc39a12",874,648,1690,763,536,752,729,787
"Slc39a13",116,67,38,30,93,94,33,38
"Slc39a14",415,416,474,371,358,383,391,371
"Slc39a2",2,6,0,11,2,0,0,5
"Slc39a3",338,311,126,116,415,455,191,90
"Slc39a4",3,0,0,0,0,0,2,0
"Slc39a5",5,1,0,4,0,3,0,2
"Slc39a6",624,758,838,777,724,628,954,787
"Slc39a7",656,467,327,252,535,763,277,178
"Slc39a8",67,65,109,28,30,70,39,63
"Slc39a9",732,572,835,805,725,721,702,620
"Slc3a1",0,0,0,0,0,0,0,1
"Slc3a2",1225,1173,918,925,1025,1342,1055,739
"Slc40a1",203,223,316,319,116,162,201,182
"Slc41a1",617,608,549,338,512,641,274,368
"Slc41a2",331,329,321,335,433,304,380,342
"Slc41a3",38,17,22,13,35,46,15,13
"Slc43a1",2,0,0,0,9,0,0,0
"Slc43a2",474,458,445,274,511,384,404,391
"Slc43a3",3,13,7,2,0,6,9,0
"Slc44a1",809,762,2352,631,586,612,953,855
