"","SRR8809606","SRR8809607","SRR8809608","SRR8809609","SRR8809610","SRR8809611","SRR8809612","SRR8809613","SRR8809614","SRR8809615","SRR8809616","SRR8809617","SRR8809618","SRR8809619","SRR8809620","SRR8809621","SRR8809622","SRR8809623","SRR8809624","SRR8809625","SRR8809626","SRR8809627","SRR8809628","SRR8809629","SRR8809630","SRR8809631","SRR8809632","SRR8809633","SRR8809634","SRR8809635","SRR8809636","SRR8809637","SRR8809638","SRR8809639","SRR8809640","SRR8809641","SRR8809642","SRR8809643"
"Usp26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Usp27x",1,9,0,2,1,0,540,0,0,1,130,0,143,22,0,59,1,13,0,54,0,106,0,0,78,0,0,0,155,1,0,0,148,0,1,0,0,0
"Usp28",17,10,231,49,0,776,0,589,0,1314,398,92,312,257,41,239,0,399,785,1,0,276,246,0,0,274,0,0,17,0,33,5,20,0,276,1,3,520
"Usp29",8,21,237,64,42,317,117,10,98,119,29,394,305,396,125,385,1206,95,605,314,118,347,229,465,169,51,0,185,227,21,672,86,236,73,7,0,12,221
"Usp3",229,65,604,101,52,727,0,374,510,52,544,200,516,340,427,247,988,154,1323,92,9,243,209,397,146,22,0,4,13,184,94,0,39,16,188,47,401,373
"Usp30",9,1,0,32,0,171,1,68,1,1501,910,330,288,200,7,127,0,164,1,5,0,286,244,1156,0,11,0,0,0,1,0,0,28,27,0,0,425,16
"Usp31",832,2,822,8,20,244,283,108,49,233,121,16,545,197,0,754,2,79,723,111,149,835,745,9,10,1585,2,0,4,1,12,912,141,171,245,1387,435,94
"Usp32",454,121,380,127,154,677,386,129,135,639,1514,171,280,616,204,785,34,86,120,517,33,635,863,137,55,9,14,717,28,123,865,6,142,1489,6,874,21,441
"Usp33",767,43,1038,442,267,992,88,1446,407,381,2130,1001,1262,1524,1381,1945,31,1007,1730,2548,78,722,1077,55,148,1255,120,494,367,2014,1122,73,75,29,196,0,29,512
"Usp34",1172,208,1037,336,431,1230,1212,70,888,609,1464,1847,581,806,305,1125,775,739,608,547,307,737,1680,2661,442,200,54,1427,1161,339,526,64,466,26,375,292,212,794
