"PRJNA252803__1","PRJNA252803__2","PRJNA529794__1","PRJNA529794__2","PRJNA252803_fc","PRJNA529794_fc","group_num"
102.0025,97.705,9.01357142857143,7.91395833333333,-1.04,-1.14,"group_10151"
11.455,12.295,1.15285714285714,2.66,1.07,2.31,"group_10152"
10.7375,9.77,2.23785714285714,0.868333333333333,-1.1,-2.58,"group_10153"
14.045,23,0.199285714285714,1.18083333333333,1.64,5.93,"group_10155"
836.41,729.235,79.8035714285714,89.6529166666667,-1.15,1.12,"group_10156"
12.32,12.4775,2.68285714285714,6.6,1.01,2.46,"group_10157"
11.695,9.675,5.105,4.61041666666667,-1.21,-1.11,"group_10158"
8.985,8.6125,1.775,3.49333333333333,-1.04,1.97,"group_10159"
45.0675,49.7675,2.02946428571429,2.7959375,1.1,1.38,"group_1016"
8.2425,7.455,2.78928571428571,1.33166666666667,-1.11,-2.09,"group_10160"
8.02,7.455,1.16357142857143,4.87958333333333,-1.08,4.19,"group_10161"
8.8125,5.4075,1.32,0.875416666666667,-1.63,-1.51,"group_10162"
19.4475,21.615,2.37928571428571,3.57583333333333,1.11,1.5,"group_10164"
7.495,6.355,0.811428571428571,1.71416666666667,-1.18,2.11,"group_10165"
23.3325,21.815,0.341071428571429,0.747291666666667,-1.07,2.19,"group_10166"
26.13,27.17,1.62428571428571,1.09729166666667,1.04,-1.48,"group_10167"
12.175,11.9425,0.0228571428571429,1.12875,-1.02,49.38,"group_10168"
16.145,19.895,1.97642857142857,3.64625,1.23,1.84,"group_10169"
13.4783333333333,17.16,1.57892857142857,2.08625,1.27,1.32,"group_1017"
15.4125,12.14,2.66571428571429,5.78375,-1.27,2.17,"group_10170"
109.64,119.36,23.1814285714286,32.05625,1.09,1.38,"group_10171"
109.64,119.36,23.1814285714286,32.05625,1.09,1.38,"group_10172"
19.2675,15.96,2.90428571428571,5.27958333333333,-1.21,1.82,"group_10173"
147.185,132.6925,111.029285714286,118.316666666667,-1.11,1.07,"group_10174"
99.83,122.3775,6.52714285714286,6.92666666666667,1.23,1.06,"group_10176"
9.87,9.6175,2.63357142857143,2.6625,-1.03,1.01,"group_10177"
21.835,18.7675,0.302142857142857,3.49833333333333,-1.16,11.58,"group_10179"
12.02125,11.69375,1.46142857142857,3.96541666666667,-1.03,2.71,"group_1018"
81.2975,90.22,7.98428571428571,10.6295833333333,1.11,1.33,"group_10180"
103.5925,103.5775,15.1192857142857,19.8591666666667,-1,1.31,"group_10181"
20.9875,22.105,2.57142857142857,8.36041666666667,1.05,3.25,"group_10182"
17.285,14.97,1.06071428571429,0.674166666666667,-1.15,-1.57,"group_10183"
25.93,27.8625,7.42214285714286,18.2820833333333,1.07,2.46,"group_10185"
9.2425,11.6725,4.70142857142857,8.26458333333333,1.26,1.76,"group_10186"
16.6825,16.2475,0.133571428571429,1.31708333333333,-1.03,9.86,"group_10188"
11.3575,12.92875,4.45214285714286,3.95041666666667,1.14,-1.13,"group_10189"
20.9275,26.1725,2.52785714285714,4.73770833333333,1.25,1.87,"group_1019"
8.105,12.035,2.21714285714286,1.32166666666667,1.48,-1.68,"group_10190"
61.105,64.6375,7.90285714285714,16.2404166666667,1.06,2.06,"group_10191"
42.765,34.725,0.298095238095238,1.26888888888889,-1.23,4.26,"group_10192"
28.83,29.1825,6.98857142857143,14.58125,1.01,2.09,"group_10193"
20.0825,23.84,7.15571428571429,6.71041666666667,1.19,-1.07,"group_10194"
13.025,13.0025,0,0.487083333333333,-1,Inf,"group_10195"
17.15125,16.76625,0.183571428571429,0.445416666666667,-1.02,2.43,"group_10196"
209.6275,219.8775,46.12,40.715,1.05,-1.13,"group_10197"
15.365,15.565,2.60928571428571,5.65375,1.01,2.17,"group_10199"
12.5966666666667,14.8425,0.535714285714286,0.964880952380952,1.18,1.8,"group_102"
13.01,11.42625,2.07,3.35583333333333,-1.14,1.62,"group_1020"
129.3225,117.9825,5.30785714285714,8.50791666666667,-1.1,1.6,"group_10200"
64.2425,59.9425,18.9128571428571,11.4683333333333,-1.07,-1.65,"group_10201"
35.45,37.9925,0.362142857142857,1.28791666666667,1.07,3.56,"group_10202"
14.5325,13.6375,1.37714285714286,1.58,-1.07,1.15,"group_10203"
19.725,20.8375,8.79571428571429,11.1483333333333,1.06,1.27,"group_10204"
241.63,301.3775,1.68214285714286,3.15479166666667,1.25,1.88,"group_10205"
70.505,70.07,6.56,10.4366666666667,-1.01,1.59,"group_10206"
36.56,33.7125,17.2671428571429,18.30875,-1.08,1.06,"group_10207"
11.6325,9.31,2.94714285714286,1.14,-1.25,-2.59,"group_10208"
88.285,79.485,7.37964285714286,6.88270833333333,-1.11,-1.07,"group_10209"
10.795,12.44,0.409761904761905,1.14430555555556,1.15,2.79,"group_1021"
209.3,186.25,39.675,41.8720833333333,-1.12,1.06,"group_10210"
46.0775,40.59,11.0728571428571,13.9141666666667,-1.14,1.26,"group_10211"
9.555,8.1825,6.45785714285714,2.35333333333333,-1.17,-2.74,"group_10212"
14.625,17.86,2.10714285714286,2.37833333333333,1.22,1.13,"group_10213"
37.855,43.8825,4.34142857142857,6.35458333333333,1.16,1.46,"group_10214"
10.3525,13.2925,0.0607142857142857,0.770833333333333,1.28,12.7,"group_10215"
36.22,37.195,18.7785714285714,20.6866666666667,1.03,1.1,"group_10216"
48.195,42.4525,26.9114285714286,17.9245833333333,-1.14,-1.5,"group_10218"
13.1175,9.8225,1.42035714285714,1.92458333333333,-1.34,1.35,"group_10219"
18.6625,18.4275,2.18857142857143,4.72347222222222,-1.01,2.16,"group_1022"
9.2325,9.025,1.62714285714286,1.58333333333333,-1.02,-1.03,"group_10220"
23.9125,24.185,1.64,1.31625,1.01,-1.25,"group_10222"
32.9675,41.865,10.3021428571429,9.68708333333333,1.27,-1.06,"group_10223"
21.9675,34.335,1.95071428571429,3.02958333333333,1.56,1.55,"group_10224"
24.105,26.1425,15.0814285714286,12.015,1.08,-1.26,"group_10225"
164.2225,163.7675,17.7171428571429,24.0766666666667,-1,1.36,"group_10227"
12.3475,7.5675,2.27071428571429,1.3875,-1.63,-1.64,"group_10228"
10.955,18.3775,3.97214285714286,7.95083333333333,1.68,2,"group_10229"
49.185,48.13375,9.59214285714286,6.78479166666667,-1.02,-1.41,"group_1023"
30.1725,24.1775,1.57821428571429,1.20270833333333,-1.25,-1.31,"group_10230"
24.0625,25.915,3.60071428571429,1.7225,1.08,-2.09,"group_10231"
22.425,24.065,0.230714285714286,0.884583333333333,1.07,3.83,"group_10232"
6.02,7.145,0.731071428571429,0.940625,1.19,1.29,"group_10233"
27.18,27.4925,7.61428571428571,7.87958333333333,1.01,1.03,"group_10234"
14.0225,14.475,1.065,4.08541666666667,1.03,3.84,"group_10235"
6.8975,9.0475,0.105,0.542916666666667,1.31,5.17,"group_10236"
34.28,32.7925,3.81714285714286,3.52666666666667,-1.05,-1.08,"group_10237"
239.2425,225.1525,124.399285714286,106.855,-1.06,-1.16,"group_10238"
43.8875,46.62,7.79071428571429,8.47625,1.06,1.09,"group_10239"
20.2875,23.2175,8.64714285714286,8.16708333333333,1.14,-1.06,"group_1024"
73.275,79.905,2.41857142857143,3.43125,1.09,1.42,"group_10240"
10.725,9.38,1.015,0.56375,-1.14,-1.8,"group_10241"
70.7275,53.3875,10.2085714285714,15.2741666666667,-1.32,1.5,"group_10242"
13.3675,14.8675,1.75571428571429,2.08916666666667,1.11,1.19,"group_10244"
24.365,18.0525,6.245,11.2475,-1.35,1.8,"group_10245"
5.7875,11.9575,1.12571428571429,4.67291666666667,2.07,4.15,"group_10246"
48.3475,52.2575,1.99,4.14583333333333,1.08,2.08,"group_10247"
739.97,821.0675,74.3478571428571,100.522083333333,1.11,1.35,"group_10248"
51.695,43.2225,10.2285714285714,7.82291666666667,-1.2,-1.31,"group_10249"
23.2275,21.6925,1.19857142857143,1.19458333333333,-1.07,-1,"group_10250"
9.57,10.5375,0.950714285714286,1.14916666666667,1.1,1.21,"group_10251"
10.215,10.335,2.48214285714286,0.725833333333333,1.01,-3.42,"group_10253"
99.23,89.72,37.5171428571429,35.50625,-1.11,-1.06,"group_10254"
19.115,15.7075,1.80142857142857,1.43291666666667,-1.22,-1.26,"group_10255"
17.66,19.26,1.69928571428571,1.12916666666667,1.09,-1.5,"group_10256"
40.5575,37.4925,6.43428571428571,2.98208333333333,-1.08,-2.16,"group_10257"
94.08,90.5825,10.6842857142857,8.78416666666667,-1.04,-1.22,"group_10258"
101.6275,105.425,4.03142857142857,5.99666666666667,1.04,1.49,"group_10259"
13.69375,13.28375,0.456428571428571,3.87791666666667,-1.03,8.5,"group_1026"
19.8975,20.655,4.97714285714286,7.60625,1.04,1.53,"group_10260"
111.125,94.3125,29.0742857142857,20.2345833333333,-1.18,-1.44,"group_10261"
9.72,11.64,0.549285714285714,0.900416666666667,1.2,1.64,"group_10262"
19.215,20.45,6.45857142857143,8.38875,1.06,1.3,"group_10263"
19.57,20.3975,12.2557142857143,8.33166666666667,1.04,-1.47,"group_10264"
12.8975,10.76,3.08214285714286,4.64416666666667,-1.2,1.51,"group_10265"
74.9925,85.7,8.57142857142857,12.9525,1.14,1.51,"group_10266"
114.82,115.2425,32.7235714285714,49.675,1,1.52,"group_10267"
9.8525,13.355,0,0.33625,1.36,Inf,"group_10269"
9.49,10.6875,0.206428571428571,2.45208333333333,1.13,11.88,"group_1027"
69.4375,70.53,2.14857142857143,1.86958333333333,1.02,-1.15,"group_10270"
21.0275,16.62,1.78428571428571,2.74166666666667,-1.27,1.54,"group_10271"
14.4725,15.125,4.16428571428571,8.71625,1.05,2.09,"group_10272"
8.6675,5.5125,1.49642857142857,2.75083333333333,-1.57,1.84,"group_10273"
19.75,18.125,1.27214285714286,1.40111111111111,-1.09,1.1,"group_10274"
20.46,23.9925,9.97142857142857,12.8566666666667,1.17,1.29,"group_10275"
92.8025,99.56,55.8478571428571,99.7266666666667,1.07,1.79,"group_10276"
