,logFC,logCPM,LR,PValue,FDR
12091,4.05997197806075,7.00130719637945,11.1264944423198,0.000851032802219383,0.0470202800962702
34753,3.48142607536893,5.4116222432479,11.1175510270843,0.00085514624496474,0.0470202800962702
5380,2.52118704590146,6.70061120952231,11.0864712669687,0.000869598015866484,0.0474607272659574
2768,2.5293415616597,6.34355931461715,11.0600122759026,0.000882095594323624,0.047484048119796
161,2.9497776805341,6.33236924513853,11.0567784016878,0.000883635475298138,0.047484048119796
6933,-1.82927032261055,7.60802654780197,11.0448078430988,0.000889359207455463,0.047484048119796
5192,2.59586920156011,6.83673705457574,10.9760620478692,0.000922963456176615,0.048549671225978
15504,2.79916995905709,6.63835305807732,10.9689045307098,0.00092653516302715,0.048549671225978
1754,2.78900361015988,7.29950921284021,10.963810381946,0.000929085727858699,0.048549671225978
9884,3.4425531381204,5.20106135332632,10.9237540733932,0.000949390303581003,0.0492613222308791
11803,3.24606756353874,5.34470987655963,10.8813648634582,0.000971366385887537,0.049785367519236
34970,3.32502651343391,7.04937169359531,10.8782451702911,0.000973003925457381,0.049785367519236
11745,-3.05523604396076,8.23432772447336,10.8649175546173,0.000980031140444148,0.0497990996054654
14859,-1.41241771258987,9.52847096494164,10.8406442200552,0.000992961803301576,0.0501105655255206
35232,-1.49656155788043,8.76848073375333,10.7956966656154,0.00101736318524479,0.050992734346147
4123,3.01547523495397,5.30874763277005,10.7723233501722,0.0010302910029338,0.0512917845244343
6013,2.95067561472298,6.84055670433752,10.7564957601839,0.00103913949546195,0.0513850993460648
1898,3.17221066508776,6.29258163357278,10.7382953004373,0.00104940961119621,0.0515470001019578
2086,3.08349173089467,5.61717329474799,10.724942280583,0.00105700966223115,0.0515764714656894
6218,-1.06187872316412,11.6337807957548,10.689038939066,0.00107772179534975,0.0522411459745854
14915,-1.79239032015023,8.69351858196234,10.6169722792089,0.00112054371508537,0.0539618698872486
14602,-3.13160974837448,8.18445040546165,10.5931769055614,0.00113505768290599,0.0543058766730606
14978,3.43780531154525,5.94638378144402,10.561547170241,0.00115464511296514,0.0544602161377717
12311,2.99857676470747,5.68953663659742,10.5540899334345,0.00115931278184839,0.0544602161377717
4761,1.88172846580874,7.12934968699407,10.5507481535703,0.00116141067453981,0.0544602161377717
12237,3.22804326698061,5.76776859846303,10.5405298211498,0.00116784936886101,0.0544602161377717
3320,3.0283521805746,5.46148049157075,10.4999598775745,0.00119377136644408,0.054855748060582
11672,-2.82436529527985,8.00010119527853,10.4923986177036,0.00119866659035745,0.054855748060582
14587,-2.82436529527985,8.00010119527853,10.4923986177036,0.00119866659035745,0.054855748060582
14670,2.65057775780453,6.03003282374619,10.4591740419903,0.00122041833914628,0.0551380669985117
