,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TrnI,309.613382785604,-2.0225303316314,0.541935189734898,-3.73205204227608,0.000189926249273831,0.000189926249273831
Gm41361,7.20322399550429,5.90476409836674,1.58239310348689,3.73154059212926,0.000190312336109349,0.000190312336109349
Gm46278,6.23659760050159,5.69711310548515,1.52752976699566,3.72962493339178,0.000191765006597153,0.000191765006597153
LOC118568762,36.0571131078189,4.67762389786783,1.25468891503779,3.72811446869835,0.000192917753697708,0.000192917753697708
LOC118567469,15.0808627069366,4.69653571948124,1.26296530003713,3.7186577646616,0.000200284187311219,0.000200284187311219
Gm32135,11.2219020305848,5.19921145046886,1.39816921073113,3.71858528321483,0.000200341654923962,0.000200341654923962
LOC118567418,85.6798037058505,4.64131622504666,1.24853059860069,3.71742288915344,0.000201265389208242,0.000201265389208242
Ubxn11,139.030448368488,3.37629333147392,0.909342615142735,3.71289465076258,0.000204902194062955,0.000204902194062955
Gm52524,14.6330089215443,8.29038211465461,2.2337291836638,3.71145355277876,0.000206072484626768,0.000206072484626768
Plekhh2,43.1191514566256,3.87468866386438,1.04404984329131,3.71121042617051,0.000206270541399192,0.000206270541399192
Sncb,335.262117716092,-1.37215212981095,0.369808746971676,-3.71043719502946,0.000206901623262444,0.000206901623262444
Pus7l,21.439670155853,6.22669214856422,1.67879496032663,3.70902480393004,0.000208059047470893,0.000208059047470893
Pcdhga3,12.8900297620324,-3.46619311400678,0.934904170599232,-3.70753840127283,0.000209283688489307,0.000209283688489307
Rnf39,17.2462725589109,7.15733011258152,1.93092933374652,3.70667635914691,0.000209997019737419,0.000209997019737419
Ndufa12,438.709585916284,-0.995707634207104,0.268898137749265,-3.70291755287482,0.000213134163013967,0.000213134163013967
LOC115486929,14.6174359772569,4.84550985331911,1.30911762362545,3.70135560462476,0.000214450682517289,0.000214450682517289
Atp5j2,482.185257352567,-1.10251749194764,0.298083638745128,-3.69868502876916,0.00021671933639649,0.00021671933639649
Sycp2,14.9261704400985,3.41154160309003,0.92302409037653,3.69604828157666,0.000218981345808963,0.000218981345808963
Gng11,4.7856710129698,-4.49784553810134,1.21709691188511,-3.69555250217077,0.000219409132578449,0.000219409132578449
Zfp629,69.2258748439687,3.58159862391063,0.969294994921045,3.69505531616036,0.000219838920889951,0.000219838920889951
Gm5087,7.93765167693991,3.74313421507261,1.0130229017073,3.69501440566063,0.000219874320802959,0.000219874320802959
LOC118568616,7.77350677946908,5.26658287982037,1.42622102957457,3.69268351160925,0.000221900108540656,0.000221900108540656
Snrpd3,319.847344774224,-1.50040726341411,0.406759231344708,-3.68868644592012,0.000225414811573595,0.000225414811573595
LOC105243553,2.06571848291274,-3.84323462530354,1.04261471268835,-3.68615038569125,0.000227671846113939,0.000227671846113939
Arg2,7.15988706604986,5.43567273847022,1.47473565938929,3.68586241463859,0.000227929470419148,0.000227929470419148
Gm3948,6.50320682832228,5.74927512177165,1.56003588698922,3.6853479908513,0.000228390364669339,0.000228390364669339
Stx19,14.0113502427841,6.8584692565879,1.86247497511709,3.68244907889659,0.000231004019601997,0.000231004019601997
LOC118568251,12.2382898385043,6.66146399619785,1.81078808874342,3.6787650844448,0.000234366014068268,0.000234366014068268
Dusp12,71.612439509555,4.38516928975289,1.19325603855746,3.67496090365834,0.000237885839537452,0.000237885839537452
Prkcd,139.917773961348,-4.83793484498336,1.3169036125716,-3.67371977629859,0.000239044884536483,0.000239044884536483
Spry1,10.8515453547108,6.49151784746303,1.7676657837688,3.67236720146419,0.000240314038748149,0.000240314038748149
5031439G07Rik,143.482916734678,2.51609339659862,0.685210935154845,3.67199831104567,0.000240661273312871,0.000240661273312871
LOC118567598,16.5444137092227,6.77617629653744,1.84613796154185,3.67046040853747,0.000242113970750896,0.000242113970750896
Mthfr,100.969301842374,4.89271522186187,1.33311594230333,3.67013480718589,0.000242422586045961,0.000242422586045961
Gm46172,13.107040359011,6.75644775493348,1.84159569223034,3.66880080325927,0.000243690854762086,0.000243690854762086
Lin9,19.3095833102273,4.79584042752982,1.30751736196655,3.66789808459347,0.00024455261878491,0.00024455261878491
Nap1l1,502.117978042426,-1.4470364035809,0.394535722731625,-3.66769425481206,0.000244747596411651,0.000244747596411651
Zfp280c,124.837399151964,3.57196382172369,0.97398063375796,3.66738690474964,0.000245041874261814,0.000245041874261814
Slc25a35,7.34280523610991,5.72282200388154,1.56125378903169,3.66552961734101,0.00024682724245661,0.00024682724245661
Rapgef1,256.887388748622,2.76224596147285,0.754229278630642,3.66234252598614,0.000249919384646315,0.000249919384646315
Atp5mpl,959.695617695374,-1.23647095612362,0.33765625563589,-3.66192225224747,0.000250329838479479,0.000250329838479479
Gm45645,75.7120957056997,2.92841018479276,0.799850529194995,3.6611967835291,0.00025103984425245,0.00025103984425245
Snrpg,98.2068017189275,-1.31118405004873,0.358373424692747,-3.65870893237376,0.000253489038298934,0.000253489038298934
Gm38712,7.57632233780535,4.68413370971744,1.280949448027,3.65676703083969,0.000255416318844553,0.000255416318844553
Cep350,303.420024347741,2.80044563211897,0.765874231914581,3.65653460505942,0.000255647913183326,0.000255647913183326
Supv3l1,66.6285448803537,3.64252602101612,0.996827355624348,3.65411924187682,0.000258066320365853,0.000258066320365853
Mal,111.805300616476,-3.16463145326311,0.866073420733515,-3.65399904615806,0.00025818722610463,0.00025818722610463
