,logFC,logCPM,LR,PValue
Adora2a,-1.62018377769969,0.666623675884486,4.68003704887867,0.0305150903256379
Lin28b,-1.61071170297292,0.278118388422577,4.24423775757203,0.03938374541299
Pde3a,-1.60963904013088,2.65553238080442,10.1565230701429,0.00143791551693182
H2bc6,-1.6049327800421,1.25982661013576,5.11021656899484,0.0237853509641128
Marchf3,-1.58900482750007,1.47552237256859,5.38846920750588,0.0202702456382804
3632454L22Rik,-1.54992119866079,0.781951057657176,4.2949003944122,0.0382268352128169
Gbp5,-1.54714367935911,0.907246703734292,5.58873188291126,0.0180763781268412
Rdm1,-1.53761306106914,1.2867257255593,4.71891056213229,0.029832638271741
Icosl,-1.52739776035589,1.86336498318851,4.07145835530457,0.0436136048528224
Snhg5,-1.52389148094043,1.51244738020602,6.26344421394207,0.0123254354828786
Gstm6,-1.5115797206129,0.642430505213159,4.02362621604456,0.0448671468636672
Col5a2,-1.50848585066986,1.2259687117398,4.53104565572507,0.033285273830918
Serpinb6b,-1.50044471801481,1.19652533681516,4.66379684026802,0.0308049995981516
St18,-1.49842777199369,1.72090286909032,4.26590574356027,0.0388845144056978
Ttc12,-1.44046821027205,1.24672040311763,4.24395819557121,0.039390230283969
Cyba,-1.43361025827888,0.7950435498212,3.8598474622938,0.0494548243596713
LOC118567529,-1.42096452904775,2.38516293845271,6.28282816365422,0.0121913387681741
Rhoj,-1.3950148503766,1.88072624784015,4.57102700272807,0.0325170658567782
Gm12371,-1.39364971472674,3.15802290140609,9.66304987821892,0.00188011231101931
Mxra8,-1.38692479229598,1.41711296680281,4.9397927274312,0.026245183713201
Gm765,-1.37810385820738,2.60299902820078,4.49648128706613,0.0339646754957789
Adamts4,-1.35164931728149,3.67662682855187,6.70195772160087,0.00963071095408676
Fmo1,-1.34503822686186,3.76373610416888,17.4202588310674,2.99615538712847e-05
Samd9l,-1.3380331010839,2.45232104749908,7.88116938792523,0.00499521698158283
Slc2a5,-1.33772507036073,2.42658283552975,8.69587403081355,0.00318931149489968
Mpc1,-1.32517889266565,2.75801359833561,14.4863158706873,0.000141181416844595
Hapln2,-1.32003130857824,1.87405689162667,4.71991643151934,0.0298151921045948
Ddit4l,-1.31234879129247,4.86159949871267,26.2199363550584,3.04660963842944e-07
Pisd-ps3,-1.30837254356349,2.94900428688507,12.6935622890502,0.000366916601468877
C030005K06Rik,-1.30685629597342,1.04068805471671,4.27011887422748,0.0387882168648252
Creb5,-1.30665182945858,2.53253087485533,10.4633012228291,0.00121769473970904
Fut10,-1.30313876299449,2.70465531612632,6.50082151176563,0.0107824660675318
Carns1,-1.29641148064503,1.63638424555473,4.41316844968698,0.0356625437520564
Ikzf1,-1.29357778108923,2.55286184104039,12.1191154524426,0.000499075716225099
Gm31096,-1.29033416070077,1.30168912654756,4.8397344872537,0.0278111767138166
Hells,-1.28293876087322,1.17374464552588,4.17613554123501,0.0409970810291019
Carnmt1,-1.27892599319139,1.7230615129114,6.26597043606901,0.0123078737512287
Ecm2,-1.26932558322206,2.81872720530753,8.68721863392453,0.00320449260929052
Lama3,-1.26394007815134,1.42360739511801,4.28236908705781,0.0385096374718861
Arhgef5,-1.21764431594125,2.02986161513499,4.6538769564384,0.0309834941719184
Lpar6,-1.18987456269674,1.34169024881497,4.24815650483659,0.0392929618200665
Anpep,-1.18915774333384,2.07698845388269,5.18988707820678,0.0227186923899604
Gbp9,-1.18834175055612,2.40579319069061,7.81990064673973,0.00516740364546512
Layn,-1.18733528114371,3.16198397073824,8.92018219541032,0.00282036374262546
Casp6,-1.18543624202879,1.48523396098013,5.16048025197574,0.0231065071599891
Oasl2,-1.18459944432873,1.77538467880446,3.84505781846521,0.0498928014240453
H2bc4,-1.18352394207158,3.55643769204792,17.4057569533658,3.01910164422783e-05
Dnajc24,-1.16576258917067,2.3231936686611,8.70436190698543,0.00317449517552056
Slx1b,-1.14919736055339,1.84596311524851,4.70413489088288,0.0300901422956867
Gm19522,-1.14780735815466,1.86092048240081,5.18338220939743,0.0228038929919878
Chchd5,-1.14275170456995,2.12620363100459,7.31042027993665,0.00685558910937083
Gbp3,-1.14003724296357,2.06250208081097,6.5202306546243,0.010665417001385
Ell3,-1.1364685751894,2.60719222087205,6.83473428888474,0.0089401991516217
Wdfy1,-1.13225241113368,5.88772966409852,4.22618705354481,0.039804766977694
Atf5,-1.12651232468211,3.36266628918543,11.2705532966481,0.000787462545735983
Mmrn2,-1.12330970109257,2.81791303484435,8.60853772285925,0.00334590822990586
Slc19a3,-1.09512511804158,2.65400642816155,5.15735418520608,0.0231481350561111
Hbb-bs,-1.09368479219612,4.68106183989815,17.7428369699928,2.52867804909775e-05
Rmdn1,-1.09051677229624,2.91416407864284,9.47585437876752,0.00208193902168552
Chst3,-1.07991501148471,1.85776057704678,4.57438591118583,0.0324533758841606
Pop4,-1.07817427703878,4.30786058724757,17.5687656809566,2.77102572789268e-05
Cep128,-1.07315955986335,2.47749665517127,8.28565086537262,0.00399595791339261
Hspa1a,-1.07286270063786,2.8727352752544,7.40061831484626,0.00652014620981168
Tnfrsf1b,-1.07269749231377,2.53576654564312,7.69543291955402,0.00553607294252324
Stat4,-1.05957954867337,1.87250546361889,4.69383992230689,0.0302709269439802
Havcr2,-1.05614680659095,2.16371147117535,6.61321485029996,0.0101224756952746
Fli1,-1.0487661900278,2.4629483234348,3.94742285877888,0.0469432082202585
Cd33,-1.04436396631992,2.4695330197287,7.12199928553058,0.00761437474076328
H2aj,-1.04213527099663,3.60672711386935,11.6589931222686,0.000638929125141159
Aif1l,-1.03458967429371,3.57542431662392,9.78367193758586,0.00176068351508073
Nphp4,-1.03314347206721,1.61905677090902,3.88837785978395,0.0486213635010192
Phgdh,-1.03189199331286,2.15512457163643,4.95555666979431,0.0260069505914201
Prdx6b,-1.03049169164645,1.51349790217882,3.99003549414579,0.045770100059667
Patj,-1.02526480563209,1.88661355311544,3.93617439512362,0.0472581326382439
Acp1,-1.02159743230869,3.84477732421818,9.20398361687524,0.00241489037626509
Enpp1,-1.02090433987048,3.20174227341903,4.95743718996233,0.0259786815532768
Olfr287,-1.0157258573655,2.50153853145926,4.38864922902651,0.0361789657177296
Trmt11,-1.00999358654672,2.67562870467901,5.55112289606136,0.0184688349493208
Lpar1,-0.991136031992888,4.78578603682309,4.64209994055471,0.0311968064842801
Bicc1,-0.981724011147057,2.81832092778992,6.64950738507922,0.00991832426823625
Dkkl1,-0.980836933942794,3.85356289760652,9.38953773946464,0.00218227223753019
Rnf122,-0.979116707778177,1.67710335485514,4.011980668829,0.0451780475808111
Igsf10,-0.975827493547278,2.60263998753636,4.43855271663631,0.0351360210616982
Palld,-0.97442991414219,3.30733980319714,10.406219703719,0.00125591581253951
Vstm4,-0.967875736807712,2.44971154097169,5.44798641545644,0.0195908944453367
Kcnj11,-0.967869367838826,4.30115076436617,8.84659885139041,0.0029363555743829
Edn3,-0.967428964867295,3.29391705209359,7.97458213200209,0.00474387053639176
Snhg18,-0.966419959288397,1.95718178926561,3.96949072109843,0.0463317832868646
Fabp7,-0.964978958462257,5.63516120497773,12.3738192227517,0.000435396066668803
Parp12,-0.9642582532064,2.4912392663877,6.80910480331779,0.00906942211175136
Tmem100,-0.962302994185202,4.26390499811111,16.5516749301376,4.73421520486248e-05
2810029C07Rik,-0.96106294187195,1.84389208609813,3.99295641497389,0.0456908280741547
